,address,datetime,mint,maxt,temp,dew,humidity,heatindex,wspd,wgust,wdir,windchill,precip,precipcover,snowdepth,visibility,cloudcover,sealevelpressure,weathertype,latitude,longitude,resolvedAddress,name,info,conditions,airportName
0,"33.6367,-84.428101",01/01/2020,36.0,55.1,45.4,25.8,47.98,,12.7,20.3,263.88,31.8,0.0,0.0,0.0,9.9,63.7,1017.5,,33.6367,-84.428101,"33.6367,-84.428101","33.6367,-84.428101",,Partially cloudy,ATL
1,"33.6367,-84.428101",01/02/2020,46.1,48.8,47.4,39.1,74.64,,13.8,,91.96,41.9,0.8,75.0,0.0,6.0,83.5,1015.2,"Mist, Rain, Heavy Rain, Light Rain",33.6367,-84.428101,"33.6367,-84.428101","33.6367,-84.428101",,"Rain, Overcast",ATL
2,"33.6367,-84.428101",01/03/2020,50.0,62.0,57.8,55.6,92.28,,14.9,27.7,163.33,,0.66,58.33,0.0,3.2,69.8,1011.6,"Mist, Rain, Fog, Heavy Rain, Light Rain",33.6367,-84.428101,"33.6367,-84.428101","33.6367,-84.428101",,"Rain, Partially cloudy",ATL
3,"33.6367,-84.428101",01/04/2020,38.0,59.0,52.5,42.4,70.76,,27.6,40.9,276.33,30.1,0.21,41.67,0.0,7.9,66.6,1015.0,"Mist, Rain, Heavy Rain, Light Rain",33.6367,-84.428101,"33.6367,-84.428101","33.6367,-84.428101",,"Rain, Partially cloudy",ATL
4,"33.6367,-84.428101",01/05/2020,32.0,53.9,41.7,26.6,56.7,,16.0,29.8,282.21,23.6,0.0,0.0,0.0,9.9,1.1,1025.6,,33.6367,-84.428101,"33.6367,-84.428101","33.6367,-84.428101",,Clear,ATL
5,"33.6367,-84.428101",01/06/2020,38.0,62.9,49.6,35.4,58.8,,9.1,,245.25,32.1,0.0,0.0,0.0,9.9,20.4,1021.6,,33.6367,-84.428101,"33.6367,-84.428101","33.6367,-84.428101",,Clear,ATL
6,"33.6367,-84.428101",01/07/2020,44.9,56.9,51.9,34.9,55.43,,21.8,29.6,268.33,39.7,0.02,8.33,0.0,9.8,35.8,1019.7,Light Rain,33.6367,-84.428101,"33.6367,-84.428101","33.6367,-84.428101",,"Rain, Partially cloudy",ATL
7,"33.6367,-84.428101",01/08/2020,37.1,61.1,47.7,25.3,43.83,,12.7,,279.13,31.1,0.0,0.0,0.0,9.9,13.3,1029.2,,33.6367,-84.428101,"33.6367,-84.428101","33.6367,-84.428101",,Clear,ATL
8,"33.6367,-84.428101",01/09/2020,37.1,62.9,51.2,33.7,52.4,,15.0,27.7,109.83,32.4,0.0,0.0,0.0,9.9,60.0,1032.2,,33.6367,-84.428101,"33.6367,-84.428101","33.6367,-84.428101",,Partially cloudy,ATL
9,"33.6367,-84.428101",01/10/2020,51.2,65.0,57.8,48.3,70.72,,13.8,18.3,107.08,,0.0,0.0,0.0,9.9,67.8,1028.8,,33.6367,-84.428101,"33.6367,-84.428101","33.6367,-84.428101",,Partially cloudy,ATL
10,"33.6367,-84.428101",01/11/2020,60.2,70.1,65.5,61.2,86.18,,20.7,35.8,172.33,,1.34,41.67,0.0,8.0,90.5,1019.0,"Mist, Light Drizzle, Rain, Thunderstorm, Heavy Rain, Light Rain",33.6367,-84.428101,"33.6367,-84.428101","33.6367,-84.428101",,"Rain, Overcast",ATL
11,"33.6367,-84.428101",01/12/2020,50.0,68.0,59.4,50.6,73.57,,10.2,24.2,222.71,47.2,0.0,8.33,0.0,9.9,50.8,1024.0,"Mist, Fog, Light Rain",33.6367,-84.428101,"33.6367,-84.428101","33.6367,-84.428101",,Partially cloudy,ATL
12,"33.6367,-84.428101",01/13/2020,60.1,65.9,62.8,58.7,86.59,,10.4,,114.63,,1.48,66.67,0.0,6.4,85.4,1026.4,"Lightning Without Thunder, Mist, Rain, Heavy Rain, Light Rain",33.6367,-84.428101,"33.6367,-84.428101","33.6367,-84.428101",,"Rain, Overcast",ATL
13,"33.6367,-84.428101",01/14/2020,60.1,64.1,62.0,59.4,91.18,,12.6,,193.79,,0.83,62.5,0.0,5.1,74.4,1023.9,"Mist, Rain, Thunderstorm, Fog, Heavy Rain, Light Rain",33.6367,-84.428101,"33.6367,-84.428101","33.6367,-84.428101",,"Rain, Partially cloudy",ATL
14,"33.6367,-84.428101",01/15/2020,56.0,71.9,63.3,58.7,85.57,,9.2,,173.75,,0.0,0.0,0.0,9.3,63.6,1022.2,"Mist, Fog",33.6367,-84.428101,"33.6367,-84.428101","33.6367,-84.428101",,Partially cloudy,ATL
15,"33.6367,-84.428101",01/16/2020,52.1,65.0,59.7,46.5,64.38,,18.3,28.9,309.88,,0.51,16.67,0.0,9.0,74.1,1026.3,"Mist, Light Drizzle, Rain, Heavy Rain, Light Rain",33.6367,-84.428101,"33.6367,-84.428101","33.6367,-84.428101",,"Rain, Partially cloudy",ATL
16,"33.6367,-84.428101",01/17/2020,44.9,55.1,49.4,24.5,38.01,,17.2,24.2,180.83,40.3,0.0,0.0,0.0,9.9,72.3,1032.7,,33.6367,-84.428101,"33.6367,-84.428101","33.6367,-84.428101",,Partially cloudy,ATL
17,"33.6367,-84.428101",01/18/2020,43.1,53.0,47.5,36.1,66.21,,13.8,19.7,136.13,36.1,0.44,29.17,0.0,8.4,91.3,1026.6,"Mist, Rain, Heavy Rain, Light Rain",33.6367,-84.428101,"33.6367,-84.428101","33.6367,-84.428101",,"Rain, Overcast",ATL
18,"33.6367,-84.428101",01/19/2020,34.1,55.1,45.5,30.5,58.98,,21.9,31.0,307.96,23.9,0.07,8.33,0.0,9.5,45.6,1020.6,"Mist, Light Rain",33.6367,-84.428101,"33.6367,-84.428101","33.6367,-84.428101",,"Rain, Partially cloudy",ATL
19,"33.6367,-84.428101",01/20/2020,25.1,37.1,30.5,15.6,53.96,,19.6,25.3,329.58,14.4,0.0,0.0,0.0,9.9,12.9,1027.5,,33.6367,-84.428101,"33.6367,-84.428101","33.6367,-84.428101",,Clear,ATL
20,"33.6367,-84.428101",01/21/2020,24.2,39.8,30.9,15.3,52.97,,12.7,19.7,318.75,13.9,0.0,0.0,0.0,9.9,33.6,1030.0,,33.6367,-84.428101,"33.6367,-84.428101","33.6367,-84.428101",,Partially cloudy,ATL
21,"33.6367,-84.428101",01/22/2020,25.1,48.8,36.8,14.1,41.47,,16.1,19.7,113.29,16.4,0.0,0.0,0.0,9.9,52.4,1027.9,,33.6367,-84.428101,"33.6367,-84.428101","33.6367,-84.428101",,Partially cloudy,ATL
22,"33.6367,-84.428101",01/23/2020,38.9,47.9,43.1,26.3,52.51,,19.6,24.2,94.17,29.1,0.08,37.5,0.0,9.5,78.1,1022.8,"Rain, Heavy Rain, Light Rain",33.6367,-84.428101,"33.6367,-84.428101","33.6367,-84.428101",,"Rain, Overcast",ATL
