Airport code,City,State,Airport name ,data source id,ranking,,,,,Airport used 
CID,Cedar Rapids/Iowa City, IA, The Eastern Iowa (CID),#REF!,,FALSE,FALSE,'CID',0,FALSE
CMI,Champaign/Urbana, IL, University of Illinois/Willard (CMI),#REF!,,FALSE,FALSE,'CMI',0,FALSE
BOS,Boston, MA, Logan International (BOS),#REF!,1,#REF!,FALSE,'BOS',1,BOS
CRW,Charleston/Dunbar, WV, Yeager (CRW),#REF!,,FALSE,FALSE,'CRW',0,FALSE
STT,Charlotte Amalie, VI, Cyril E King (STT),#REF!,,FALSE,FALSE,'STT',0,FALSE
BTR,Baton Rouge, LA, Baton Rouge Metropolitan/Ryan Field (BTR),#REF!,2,FALSE,#REF!,'BTR',1,BTR
BUF,Buffalo, NY, Buffalo Niagara International (BUF),#REF!,2,FALSE,#REF!,'BUF',1,BUF
CHA,Chattanooga, TN, Lovell Field (CHA),#REF!,,FALSE,FALSE,'CHA',0,FALSE
CYS,Cheyenne, WY, Cheyenne Regional/Jerry Olson Field (CYS),#REF!,,FALSE,FALSE,'CYS',0,FALSE
BWI,Baltimore, MD, Baltimore/Washington International Thurgood Marshall (BWI),#REF!,1,#REF!,FALSE,'BWI',1,BWI
CAE,Columbia, SC, Columbia Metropolitan (CAE),#REF!,2,FALSE,#REF!,'CAE',1,CAE
CIC,Chico, CA, Chico Municipal (CIC),#REF!,,FALSE,FALSE,'CIC',0,FALSE
STX,Christiansted, VI, Henry E. Rohlsen (STX),#REF!,,FALSE,FALSE,'STX',0,FALSE
CBM,Columbus, MS, Columbus AFB (CBM),#REF!,2,FALSE,#REF!,'CBM',1,CBM
CKB,Clarksburg/Fairmont, WV, North Central West Virginia (CKB),#REF!,,FALSE,FALSE,'CKB',0,FALSE
CHO,Charlottesville, VA, Charlottesville Albemarle (CHO),#REF!,2,FALSE,#REF!,'CHO',1,CHO
COD,Cody, WY, Yellowstone Regional (COD),#REF!,,FALSE,FALSE,'COD',0,FALSE
CDB,Cold Bay, AK, Cold Bay Airport (CDB),#REF!,,FALSE,FALSE,'CDB',0,FALSE
CLL,College Station/Bryan, TX, Easterwood Field (CLL),#REF!,,FALSE,FALSE,'CLL',0,FALSE
COS,Colorado Springs, CO, City of Colorado Springs Municipal (COS),#REF!,,FALSE,FALSE,'COS',0,FALSE
COU,Columbia, MO, Columbia Regional (COU),#REF!,,FALSE,FALSE,'COU',0,FALSE
CHS,Charleston, SC, Charleston AFB/International (CHS),#REF!,2,FALSE,#REF!,'CHS',1,CHS
CLE,Cleveland, OH, Cleveland-Hopkins International (CLE),#REF!,1,#REF!,FALSE,'CLE',1,CLE
CLT,Charlotte, NC, Charlotte Douglas International (CLT),#REF!,1,#REF!,FALSE,'CLT',1,CLT
GTR,Columbus, MS, Golden Triangle Regional (GTR),#REF!,,FALSE,FALSE,'GTR',0,FALSE
CMH,Columbus, OH, John Glenn Columbus International (CMH),#REF!,2,FALSE,#REF!,'CMH',1,CMH
CRP,Corpus Christi, TX, Corpus Christi International (CRP),#REF!,2,FALSE,#REF!,'CRP',1,CRP
CCR,Concord, CA, Buchanan Field (CCR),#REF!,,FALSE,FALSE,'CCR',0,FALSE
USA,Concord, NC, Concord Padgett Regional (USA),#REF!,,FALSE,FALSE,'USA',0,FALSE
CDV,Cordova, AK, Merle K Mudhole Smith (CDV),#REF!,,FALSE,FALSE,'CDV',0,FALSE
CSG,Columbus, GA, Columbus Airport (CSG),#REF!,2,FALSE,#REF!,'CSG',1,CSG
CEC,Crescent City, CA, Jack McNamara Field (CEC),#REF!,,FALSE,FALSE,'CEC',0,FALSE
CVG,Cincinnati, OH, Cincinnati/Northern Kentucky International (CVG),#REF!,2,FALSE,#REF!,'CVG',1,CVG
DAB,Daytona Beach, FL, Daytona Beach International (DAB),#REF!,2,FALSE,#REF!,'DAB',1,DAB
DAL,Dallas, TX, Dallas Love Field (DAL),#REF!,1,#REF!,FALSE,'DAL',1,DAL
DAY,Dayton, OH, James M Cox/Dayton International (DAY),#REF!,2,FALSE,#REF!,'DAY',1,DAY
SCC,Deadhorse, AK, Deadhorse Airport (SCC),#REF!,,FALSE,FALSE,'SCC',0,FALSE
DEC,Decatur, IL, Decatur Airport (DEC),#REF!,,FALSE,FALSE,'DEC',0,FALSE
DRT,Del Rio, TX, Del Rio International (DRT),#REF!,,FALSE,FALSE,'DRT',0,FALSE
DEN,Denver, CO, Denver International (DEN),#REF!,,FALSE,FALSE,'DEN',0,FALSE
DCA,Washington, DC, Ronald Reagan Washington National (DCA),#REF!,1,#REF!,FALSE,'DCA',1,DCA
DET,Detroit, MI, Coleman A. Young Municipal (DET),#REF!,2,FALSE,#REF!,'DET',1,DET
DFW,Dallas/Fort Worth, TX, Dallas/Fort Worth International (DFW),#REF!,1,#REF!,FALSE,'DFW',1,DFW
DVL,Devils Lake, ND, Devils Lake Regional (DVL),#REF!,,FALSE,FALSE,'DVL',0,FALSE
DIK,Dickinson, ND, Dickinson - Theodore Roosevelt Regional (DIK),#REF!,,FALSE,FALSE,'DIK',0,FALSE
DLG,Dillingham, AK, Dillingham Airport (DLG),#REF!,,FALSE,FALSE,'DLG',0,FALSE
DDC,Dodge City, KS, Dodge City Regional (DDC),#REF!,,FALSE,FALSE,'DDC',0,FALSE
DHN,Dothan, AL, Dothan Regional (DHN),#REF!,,FALSE,FALSE,'DHN',0,FALSE
DBQ,Dubuque, IA, Dubuque Regional (DBQ),#REF!,,FALSE,FALSE,'DBQ',0,FALSE
DLH,Duluth, MN, Duluth International (DLH),#REF!,,FALSE,FALSE,'DLH',0,FALSE
DRO,Durango, CO, Durango La Plata County (DRO),#REF!,,FALSE,FALSE,'DRO',0,FALSE
EGE,Eagle, CO, Eagle County Regional (EGE),#REF!,,FALSE,FALSE,'EGE',0,FALSE
EAU,Eau Claire, WI, Chippewa Valley Regional (EAU),#REF!,,FALSE,FALSE,'EAU',0,FALSE
IPL,El Centro, CA, Imperial County (IPL),#REF!,,FALSE,FALSE,'IPL',0,FALSE
ELP,El Paso, TX, El Paso International (ELP),#REF!,,FALSE,FALSE,'ELP',0,FALSE
EKO,Elko, NV, Elko Regional (EKO),#REF!,,FALSE,FALSE,'EKO',0,FALSE
ELM,Elmira/Corning, NY, Elmira/Corning Regional (ELM),#REF!,,FALSE,FALSE,'ELM',0,FALSE
ERI,Erie, PA, Erie International/Tom Ridge Field (ERI),#REF!,,FALSE,FALSE,'ERI',0,FALSE
ESC,Escanaba, MI, Delta County (ESC),#REF!,,FALSE,FALSE,'ESC',0,FALSE
EUG,Eugene, OR, Mahlon Sweet Field (EUG),#REF!,,FALSE,FALSE,'EUG',0,FALSE
EVV,Evansville, IN, Evansville Regional (EVV),#REF!,,FALSE,FALSE,'EVV',0,FALSE
PAE,Everett, WA, Snohomish County (PAE),#REF!,,FALSE,FALSE,'PAE',0,FALSE
FAI,Fairbanks, AK, Fairbanks International (FAI),#REF!,,FALSE,FALSE,'FAI',0,FALSE
FAR,Fargo, ND, Hector International (FAR),#REF!,,FALSE,FALSE,'FAR',0,FALSE
FMN,Farmington, NM, Four Corners Regional (FMN),#REF!,,FALSE,FALSE,'FMN',0,FALSE
XNA,Fayetteville, AR, Northwest Arkansas Regional (XNA),#REF!,,FALSE,FALSE,'XNA',0,FALSE
FAY,Fayetteville, NC, Fayetteville Regional/Grannis Field (FAY),#REF!,,FALSE,FALSE,'FAY',0,FALSE
FLG,Flagstaff, AZ, Flagstaff Pulliam (FLG),#REF!,,FALSE,FALSE,'FLG',0,FALSE
FNT,Flint, MI, Bishop International (FNT),#REF!,,FALSE,FALSE,'FNT',0,FALSE
FLO,Florence, SC, Florence Regional (FLO),#REF!,,FALSE,FALSE,'FLO',0,FALSE
FNL,Fort Collins/Loveland, CO, Northern Colorado Regional (FNL),#REF!,,FALSE,FALSE,'FNL',0,FALSE
DSM,Des Moines, IA, Des Moines International (DSM),#REF!,2,FALSE,#REF!,'DSM',1,DSM
DTW,Detroit, MI, Detroit Metro Wayne County (DTW),#REF!,1,#REF!,FALSE,'DTW',1,DTW
FSM,Fort Smith, AR, Fort Smith Regional (FSM),#REF!,,FALSE,FALSE,'FSM',0,FALSE
ECP,Panama City, FL, Northwest Florida Beaches International (ECP),#REF!,2,FALSE,#REF!,'ECP',1,ECP
FAT,Fresno, CA, Fresno Yosemite International (FAT),#REF!,,FALSE,FALSE,'FAT',0,FALSE
GNV,Gainesville, FL, Gainesville Regional (GNV),#REF!,,FALSE,FALSE,'GNV',0,FALSE
GCK,Garden City, KS, Garden City Regional (GCK),#REF!,,FALSE,FALSE,'GCK',0,FALSE
GCC,Gillette, WY, Gillette Campbell County (GCC),#REF!,,FALSE,FALSE,'GCC',0,FALSE
GCN,Grand Canyon, AZ, Grand Canyon National Park (GCN),#REF!,,FALSE,FALSE,'GCN',0,FALSE
GFK,Grand Forks, ND, Grand Forks International (GFK),#REF!,,FALSE,FALSE,'GFK',0,FALSE
GRI,Grand Island, NE, Central Nebraska Regional (GRI),#REF!,,FALSE,FALSE,'GRI',0,FALSE
GJT,Grand Junction, CO, Grand Junction Regional (GJT),#REF!,,FALSE,FALSE,'GJT',0,FALSE
GRR,Grand Rapids, MI, Gerald R. Ford International (GRR),#REF!,,FALSE,FALSE,'GRR',0,FALSE
GTF,Great Falls, MT, Great Falls International (GTF),#REF!,,FALSE,FALSE,'GTF',0,FALSE
EFD,Houston, TX, Ellington (EFD),#REF!,2,FALSE,#REF!,'EFD',1,EFD
GSO,Greensboro/High Point, NC, Piedmont Triad International (GSO),#REF!,,FALSE,FALSE,'GSO',0,FALSE
GLH,Greenville, MS, Greenville Mid Delta (GLH),#REF!,,FALSE,FALSE,'GLH',0,FALSE
PGV,Greenville, NC, Pitt Greenville (PGV),#REF!,,FALSE,FALSE,'PGV',0,FALSE
GSP,Greer, SC, Greenville-Spartanburg International (GSP),#REF!,,FALSE,FALSE,'GSP',0,FALSE
GUM,Guam, TT, Guam International (GUM),#REF!,,FALSE,FALSE,'GUM',0,FALSE
GPT,Gulfport/Biloxi, MS, Gulfport-Biloxi International (GPT),#REF!,,FALSE,FALSE,'GPT',0,FALSE
GUC,Gunnison, CO, Gunnison-Crested Butte Regional (GUC),#REF!,,FALSE,FALSE,'GUC',0,FALSE
GST,Gustavus, AK, Gustavus Airport (GST),#REF!,,FALSE,FALSE,'GST',0,FALSE
HGR,Hagerstown, MD, Hagerstown Regional-Richard A. Henson Field (HGR),#REF!,,FALSE,FALSE,'HGR',0,FALSE
CMX,Hancock/Houghton, MI, Houghton County Memorial (CMX),#REF!,,FALSE,FALSE,'CMX',0,FALSE
HRL,Harlingen/San Benito, TX, Valley International (HRL),#REF!,,FALSE,FALSE,'HRL',0,FALSE
MDT,Harrisburg, PA, Harrisburg International (MDT),#REF!,,FALSE,FALSE,'MDT',0,FALSE
EWR,Newark, NJ, Newark Liberty International (EWR),#REF!,1,#REF!,FALSE,'EWR',1,EWR
